310.0000 17.7522 105.5413 18.1023 101.3532	57.6616
336.0000 10.7763 210.2277 10.8831 208.6344	49.8677
364.0000 11.4273 305.6939 11.7088 301.6210	104.9109
669.0000 -20.9409 124.5628 -20.5206 129.3152	204.9666
681.0000 -13.8890 274.1607 -13.5590 278.5802	188.7869
853.0000 22.9586 199.5134 23.3565 195.1845	143.9254
858.0000 -9.7393 208.9184 -9.4827 212.9671	55.7677
1067.0000 -16.6617 290.9535 -16.0720 298.2726	575.8930
1068.0000 -13.7148 119.3802 -13.4100 123.4830	142.6786
1217.0000 19.1283 240.8449 19.4917 236.6239	112.7465
1240.0000 -15.3314 125.7646 -14.9801 130.2695	194.4631
1249.0000 13.0114 62.6311 13.3116 58.5348	99.2637
1264.0000 -8.9591 54.9539 -8.3479 65.0927	1398.6805
1268.0000 10.9409 170.2638 11.2163 166.1974	57.8257
1270.0000 -2.5083 83.4316 -2.3790 87.4329	57.0228
1270.0000 -4.8363 48.4910 -4.6559 52.5006	74.5504
1271.0000 15.7044 93.7962 16.0338 89.6518	66.0273
1285.0000 9.9318 189.7941 10.2838 184.3702	308.3680
1286.0000 23.0332 37.5272 23.5490 31.9255	285.5005
1290.0000 15.5549 87.7661 15.8829 83.6246	65.7737
1407.0000 -16.4146 270.0839 -15.9715 275.6082	304.8042
1430.0000 14.7565 139.0153 15.0761 134.8890	155.7073
1444.0000 16.2556 111.3987 16.5909 107.2431	101.6491
1464.0000 -13.2256 265.9934 -12.8361 271.3321	291.0918
1470.0000 9.6571 165.3424 9.9160 161.2918	107.9686
1471.0000 -19.5838 331.6787 -18.9024 339.6027	668.4235
1473.0000 -8.4254 140.7162 -8.1869 144.7513	138.8684
1478.0000 -19.9499 69.8802 -19.2028 78.5110	815.7526
1484.0000 6.9803 164.2697 7.2008 160.2450	70.2301
1491.0000 -15.7317 232.2807 -15.4053 236.4191	107.6798
1500.0000 -20.8330 219.7684 -20.4573 224.0240	121.0835
1500.0000 11.5333 172.0490 11.8859 166.9744	262.5020
1522.0000 -14.1535 82.1277 -13.6772 88.4685	425.5113
1547.0000 21.8918 326.4768 22.2803 322.1804	79.4355
1580.0000 -10.1015 245.4000 -9.9954 247.0396	52.0501
1614.0000 -12.7869 196.6868 -12.4926 200.7748	53.7954
1616.0000 -4.1413 272.7565 -3.9744 276.7631	129.9806
1630.0000 -8.3097 226.0469 -7.8303 234.2701	813.2824
1632.0000 -16.2914 298.2359 -15.9443 302.5724	176.4503
1639.0000 17.4753 359.1440 17.8228 354.9623	146.3017
1655.0000 5.7746 112.6000 5.9753 108.5839	122.7610
1663.0000 16.4104 325.7699 16.5462 324.0886	52.0501
1778.0000 15.0923 207.4524 15.4152 203.3200	104.0816
1782.0000 -12.0721 165.8909 -11.7862 169.9688	141.1630
1789.0000 4.3979 319.9968 4.5733 315.9882	90.9701
1790.0000 17.5778 185.1522 18.1121 178.7522	416.5621
1828.0000 -8.5193 19.1287 -8.4207 20.7824	52.9713
1828.0000 -7.1143 271.8340 -6.8952 275.8581	139.7030
1830.0000 -7.8755 247.4751 -7.7806 249.1264	52.9713
1831.0000 15.0216 232.9127 15.3440 228.7816	123.3687
1837.0000 5.6200 72.6561 5.8181 68.6410	125.9599
1867.0000 8.6285 109.1308 9.0962 101.4622	685.1446
1868.0000 -6.8898 102.5397 -6.3935 111.8926	1133.2001
1879.0000 -11.3821 8.5653 -11.0670 13.1876	213.4074
1905.0000 5.7772 291.8769 5.9778 287.8608	104.6675
1908.0000 -11.7594 303.1136 -11.3906 308.4493	294.1622
1932.0000 15.6419 18.8506 15.9709 14.7077	53.6137
1933.0000 13.9249 45.2107 14.2353 41.0995	138.9094
1938.0000 12.2187 236.6062 12.7500 229.1812	618.8248
1954.0000 -12.7816 105.5775 -12.3729 111.2703	337.5947
1961.0000 -10.4959 278.2173 -10.2294 282.2747	122.7655
1964.0000 2.3154 268.5072 2.3673 266.8680	52.9713
1987.0000 2.8943 247.4203 3.0368 243.4174	67.7763
1989.0000 11.0890 248.2908 11.4242 243.3794	244.6903
2018.0000 6.7257 127.6527 6.9421 123.6301	58.4913
2021.0000 -9.9271 345.2206 -9.5515 351.1093	371.9142
2024.0000 11.9401 41.5464 12.2278 37.4662	116.1291
